"Ticker","Market Cap","Short Float","Relative Volume","Price","Earnings Date"
"CUBE",9571.18,3.84%,1.32,42.09,7/30/2026 4:30:00 PM
"CURB",3599.03,16.89%,1.05,31.56,7/28/2026 8:30:00 AM
"CUZ",5289.97,6.77%,0.90,32.15,7/30/2026 4:30:00 PM
"CVCO",4391.52,5.84%,0.55,569.77,7/30/2026 4:30:00 PM
"CVE",54704.41,2.45%,0.91,29.28,7/29/2026 8:30:00 AM
"CVEO",379.40,10.00%,0.77,34.67,7/30/2026 8:30:00 AM
"CVI",3362.75,17.93%,0.77,33.45,7/29/2026 4:30:00 PM
"CVLG",1176.74,4.60%,0.98,46.75,7/29/2026 4:30:00 PM
"CVLT",5894.72,8.62%,0.63,142.31,7/28/2026 8:30:00 AM
"CVNA",66314.69,11.47%,0.59,60.46,7/29/2026 4:30:00 PM
"CVX",387943.32,1.03%,0.71,194.79,7/31/2026 8:30:00 AM
"CWH",588.05,18.51%,0.86,5.71,7/29/2026 4:30:00 PM
"CWT",3035.76,3.48%,0.57,50.72,7/30/2026 8:30:00 AM
"CZR",6098.59,9.74%,0.32,29.94,7/28/2026 4:30:00 PM
"D",62533.34,3.14%,0.49,71.10,7/31/2026 8:30:00 AM
"DAIO",29.31,0.09%,0.55,3.12,7/30/2026 4:30:00 PM
"DAR",9932.96,5.19%,0.67,62.50,7/30/2026 8:30:00 AM
"DBD",3093.35,8.12%,0.88,89.33,7/29/2026 8:30:00 AM
"DFIN",1205.65,4.83%,0.46,48.26,7/30/2026 8:30:00 AM
"DGICA",706.77,4.74%,0.78,18.76,7/30/2026 8:30:00 AM
"DINO",15918.32,4.89%,0.74,88.30,7/28/2026 8:30:00 AM
"DLB",4716.66,11.35%,0.80,49.86,7/30/2026 4:30:00 PM
"DLHC",73.77,0.44%,0.04,5.09,7/29/2026 4:30:00 PM
"DMC",1346.89,5.08%,0.50,28.31,7/29/2026 8:30:00 AM
"DRH",2635.78,6.44%,0.89,12.85,7/30/2026 4:30:00 PM
"DRS",12831.26,3.80%,0.68,48.10,7/30/2026 8:30:00 AM
"DSX",277.96,2.38%,0.78,2.25,7/30/2026 8:30:00 AM
"DTE",31091.91,2.86%,0.77,149.46,7/28/2026 8:30:00 AM
"DTM",14862.44,4.24%,1.06,145.69,7/30/2026 8:30:00 AM
"DXC",1628.91,20.17%,0.74,10.05,7/30/2026 4:30:00 PM
"DXCM",27605.35,4.92%,0.50,71.54,7/30/2026 4:30:00 PM
"EA",52422.10,3.87%,0.99,209.06,7/29/2026 4:30:00 PM
"ECL",75636.33,1.32%,0.71,268.75,7/28/2026 8:30:00 AM
"EDU",8149.71,2.23%,0.69,49.24,7/29/2026 8:30:00 AM
"EEFT",3019.74,13.77%,0.64,79.31,7/30/2026 8:30:00 AM
"EFOR",844.60,10.56%,0.66,20.60,7/29/2026 4:30:00 PM
"EG",15239.82,5.41%,0.78,385.12,7/29/2026 4:30:00 PM
"EGO",8320.68,5.10%,0.73,31.88,7/30/2026 4:30:00 PM
"EIG",908.32,5.31%,0.62,49.79,7/29/2026 4:30:00 PM
"EIX",30687.32,3.98%,0.70,79.75,7/30/2026 4:30:00 PM
"EME",33101.34,3.05%,0.70,744.85,7/30/2026 8:30:00 AM
"EMN",7798.67,4.74%,0.85,68.20,7/30/2026 4:30:00 PM
"ENB",124165.18,1.05%,0.67,56.86,7/31/2026 8:30:00 AM
"ENPH",4836.99,17.94%,0.52,36.70,7/28/2026 4:30:00 PM
"EPD",83793.06,1.22%,0.48,38.73,7/30/2026 8:30:00 AM
"EPR",4860.53,10.35%,1.01,63.53,7/29/2026 4:30:00 PM
"EQIX",106932.36,1.91%,1.33,1084.24,7/29/2026 4:30:00 PM
"EQX",7323.40,5.47%,1.02,9.28,7/31/2026 8:30:00 AM
"ERIE",10410.81,11.83%,0.84,223.55,7/30/2026 4:30:00 PM
"ES",28172.16,3.63%,0.57,74.91,7/30/2026 4:30:00 PM
"ESCA",257.19,2.63%,0.65,18.63,7/30/2026 8:30:00 AM
"ESI",9123.61,4.10%,1.34,37.44,7/27/2026 4:30:00 PM
"ESRT",975.95,6.16%,0.71,5.66,7/29/2026 4:30:00 PM
"ESS",19499.50,3.18%,1.05,293.46,7/29/2026 4:30:00 PM
"ETD",580.69,9.08%,0.35,22.82,7/29/2026 4:30:00 PM
"ETN",156900.38,2.06%,0.61,404.07,7/31/2026 8:30:00 AM
"ETR",53091.98,5.03%,0.52,115.95,7/29/2026 8:30:00 AM
"EVR",13137.75,3.29%,0.83,339.63,7/29/2026 8:30:00 AM
"EXC",48633.08,3.53%,0.65,47.53,7/30/2026 8:30:00 AM
"EXE",21894.22,3.56%,0.97,91.52,7/28/2026 4:30:00 PM
"EXK",2315.27,6.91%,0.91,7.82,7/29/2026 4:30:00 PM
"EXLS",4227.50,8.14%,0.54,27.67,7/28/2026 4:30:00 PM
"EXP",6597.73,6.42%,1.13,213.55,7/29/2026 8:30:00 AM
"EXPO",2980.55,6.11%,0.84,61.44,7/30/2026 4:30:00 PM
"EXR",32596.96,2.20%,0.90,147.71,7/28/2026 4:30:00 PM
"F",57260.03,2.47%,1.23,14.37,7/28/2026 4:30:00 PM
"FATN",63.25,1.14%,0.02,4.51,7/30/2026 4:30:00 PM
"FBIZ",561.77,2.01%,0.77,67.18,7/30/2026 4:30:00 PM
"FBRT",601.08,7.92%,1.06,7.81,7/29/2026 4:30:00 PM
"FCF",2122.15,3.22%,1.78,20.87,7/28/2026 4:30:00 PM
"FCN",4816.72,6.67%,0.52,159.79,7/30/2026 8:30:00 AM
"FCPT",2861.16,3.63%,0.76,26.07,7/29/2026 4:30:00 PM
"FE",28875.29,4.93%,0.59,49.92,7/28/2026 4:30:00 PM
"FELE",4665.20,1.82%,0.89,105.59,7/28/2026 8:30:00 AM
"FET",654.07,7.64%,0.49,57.86,7/31/2026 8:30:00 AM
"FFIV",22128.19,2.31%,0.77,392.21,7/27/2026 4:30:00 PM
"FHI",4396.86,5.48%,0.63,57.92,7/30/2026 4:30:00 PM
"FICO",28695.73,9.94%,0.48,1237.37,7/29/2026 4:30:00 PM
"FINW",188.73,1.41%,0.97,13.77,7/29/2026 4:30:00 PM
"FLEX",43420.83,2.09%,0.67,118.51,7/29/2026 8:30:00 AM
"FLGT",558.64,15.17%,0.34,19.67,7/30/2026 4:30:00 PM
"FLS",9253.23,7.38%,0.61,72.40,7/29/2026 4:30:00 PM
"FMC",1415.06,21.94%,0.55,11.30,7/29/2026 4:30:00 PM
"FMX",25617.22,1.10%,0.78,127.12,7/28/2026 8:30:00 AM
"FND",5810.06,14.89%,0.92,53.75,7/30/2026 4:30:00 PM
"FORM",8110.41,3.60%,0.48,104.04,7/29/2026 4:30:00 PM
"FORR",172.18,5.55%,0.72,8.87,7/30/2026 4:30:00 PM
"FPI",418.73,7.63%,0.70,9.60,7/29/2026 4:30:00 PM
"FRBT",974.42,0.65%,0.23,19.61,7/30/2026 8:30:00 AM
"FRT",10958.32,3.53%,1.06,126.08,7/31/2026 8:30:00 AM
"FSLR",21793.69,9.74%,0.63,202.82,7/30/2026 4:30:00 PM
"FSP",44.80,0.94%,0.92,0.43,7/28/2026 4:30:00 PM
"FSS",7252.56,7.24%,0.55,118.89,7/30/2026 8:30:00 AM
"FSUN",1521.83,3.91%,0.50,34.49,7/27/2026 4:30:00 PM
"FTAI",22155.87,6.71%,0.63,215.98,7/29/2026 4:30:00 PM
"FTI",30600.37,4.29%,0.42,76.75,7/30/2026 8:30:00 AM
"FTNT",111633.63,2.39%,0.46,152.37,7/29/2026 4:30:00 PM
"FTRE",1846.59,10.93%,0.93,19.52,7/29/2026 8:30:00 AM
"FTS",29955.44,2.18%,0.71,58.84,7/31/2026 8:30:00 AM
"FTV",18995.89,4.40%,0.89,62.31,7/29/2026 8:30:00 AM
"FVRR",376.04,10.44%,0.80,10.46,7/29/2026 8:30:00 AM
"GATX",6554.37,4.59%,0.88,184.63,7/30/2026 8:30:00 AM
"GBFH",448.58,7.44%,0.79,31.00,7/29/2026 4:30:00 PM
"GD",104588.87,1.08%,1.16,386.75,7/29/2026 8:30:00 AM
"GDDY",12335.30,5.01%,0.54,93.16,7/30/2026 4:30:00 PM
"GDYN",475.83,7.89%,0.42,5.69,7/30/2026 4:30:00 PM
"GEF",4005.94,5.32%,1.08,78.62,7/28/2026 4:30:00 PM
"GEHC",27557.35,4.07%,1.64,60.58,7/29/2026 8:30:00 AM
"GFL",14332.02,6.57%,0.57,39.68,7/29/2026 4:30:00 PM
"GH",19535.95,8.97%,0.71,147.33,7/30/2026 4:30:00 PM
"GIB",13911.77,3.44%,0.71,66.43,7/29/2026 8:30:00 AM
"GIL",9249.74,4.67%,1.00,49.95,7/30/2026 8:30:00 AM
"GKOS",9020.35,8.34%,0.38,153.58,7/29/2026 4:30:00 PM
"GLPI",12793.13,3.56%,0.67,45.17,7/30/2026 4:30:00 PM
"GLW",126212.53,2.43%,0.60,146.65,7/28/2026 8:30:00 AM
"GNRC",11892.06,3.34%,1.16,202.01,7/29/2026 8:30:00 AM
"GOOS",868.20,8.98%,2.03,8.89,7/30/2026 8:30:00 AM
"GPI",3936.76,8.56%,0.68,330.87,7/30/2026 8:30:00 AM
